baseline,rssi_sigma,path_loss_exponent,mac,n,rmse,rmse_ci95_low,rmse_ci95_high,mean_error,mean_error_ci95_low,mean_error_ci95_high,max_observed_error,mean_max_error_global,mean_max_error_global_ci95_low,mean_max_error_global_ci95_high
60,6,4.1,00:04,30,12.94127645473647,5.4200301278869425,17.480747866399508,10.6414058752305,7.8447269311085,13.4380848193525,45.91710679997638,10.923287737857043,8.249967479974616,13.59660799573947
60,6,4.4,00:02,30,5.094784175071117,5.032134182470087,5.156673069986721,5.092069583978452,5.028920572146349,5.155218595810554,5.435190364774271,11.728565129220483,10.236836890038472,13.220293368402494
60,6,4.4,00:03,30,3.925492324918577,3.8860426855739814,3.9645494361763567,3.924099441614347,3.8843916974320924,3.9638071857966013,4.075674958764204,11.728565129220483,10.236836890038472,13.220293368402494
60,6,4.4,00:04,30,12.30850607968133,9.860700186637663,14.344519359544552,11.495982946979707,9.825886268351406,13.166079625608008,29.73916748303288,11.728565129220483,10.236836890038472,13.220293368402494
60,8,3.8,00:02,30,2.601686029621734,2.5328351655936676,2.668761214007335,2.5953885848695832,2.526688705819248,2.6640884639199185,2.9500658032818454,11.711895306276874,6.481167026632463,16.942623585921286
60,8,3.8,00:03,30,2.3522332270078823,2.251022754624843,2.449264964564066,2.3373610675957206,2.237073068689205,2.437649066502236,2.785413582130713,11.711895306276874,6.481167026632463,16.942623585921286
60,8,3.8,00:04,30,18.065319732805282,0.0,27.309594458905313,11.560172258345537,6.288411749682826,16.831932767008247,78.76667083748191,11.711895306276874,6.481167026632463,16.942623585921286
60,10,3.8,00:02,30,2.6017215766657347,2.5329317681508976,2.6687388375163352,2.5954354103905666,2.526796534356818,2.664074286424315,2.9501403963329724,11.79950056975663,6.164030022319708,17.43497111719355
60,10,3.8,00:03,30,2.3540783226180113,2.2529355738780037,2.4510509578536,2.3392379662034832,2.239017506496477,2.4394584259104897,2.7870241627110945,11.79950056975663,6.164030022319708,17.43497111719355
60,10,3.8,00:04,30,18.944986944758988,0.0,29.200844341451134,11.647025356886564,5.972897435564432,17.321153278208698,85.47238912702304,11.79950056975663,6.164030022319708,17.43497111719355
60,12,3.8,00:02,30,2.601743628460224,2.5329875602085004,2.668728880252869,2.595463691925946,2.526858503494794,2.6640688803570978,2.950187100059441,11.945114785044982,5.89517454957102,17.995055020518944
60,12,3.8,00:03,30,2.354704486455923,2.2533287647693534,2.4518923130786807,2.3397813067258375,2.239269052609902,2.440293560841773,2.7878973872669692,11.945114785044982,5.89517454957102,17.995055020518944
60,12,3.8,00:04,30,19.898625956104645,0.0,31.137389241334326,11.792612132243644,5.7061126905646224,17.879111573922664,92.10687983943478,11.945114785044982,5.89517454957102,17.995055020518944
60,12,4.4,00:02,30,5.097336304663534,5.034768088164073,5.1591457727114545,5.094630019257249,5.031561867902434,5.157698170612063,5.436276677319793,11.268184518001068,9.833136223663274,12.703232812338861
60,12,4.4,00:03,30,3.931150571808703,3.891805784308193,3.970105461280478,3.929766970369392,3.8901632088820866,3.969370731856697,4.079660797614592,11.268184518001068,9.833136223663274,12.703232812338861
60,12,4.4,00:04,30,11.822211440614703,9.410376777488127,13.819340635461394,11.039354911837508,9.43282656270578,12.645883260969237,28.928668672808474,11.268184518001068,9.833136223663274,12.703232812338861
70,3,3.2,00:02,30,0.7214559992858065,0.6183134533702769,0.8115947210229287,0.6956810539885967,0.6231040366474883,0.7682580713297051,1.4972658942861028,41.801927615949026,26.83808475675294,56.76577047514511
70,3,3.2,00:03,30,10.260955861529252,10.2161935744872,10.305523724348486,10.260281226798535,10.215599450492732,10.304963003104337,10.535971455663974,41.801927615949026,26.83808475675294,56.76577047514511
70,3,3.2,00:04,30,57.346250739277835,28.080769957115596,76.08321303888133,41.02976296211606,25.815452869938554,56.244073054293565,168.22554662683675,41.801927615949026,26.83808475675294,56.76577047514511
70,6,3.8,00:02,30,1.9808991570429078,1.9172557632378302,2.042560471339326,1.9736816480803254,1.909525511047554,2.037837785113097,2.2541625865065162,11.653076340736675,6.934143993326671,16.37200868814668
70,6,3.8,00:03,30,1.8266195788572062,1.7642798918880902,1.8869008015283428,1.8197678660909016,1.7597438162781145,1.8797919159036887,2.1306052755160017,11.653076340736675,6.934143993326671,16.37200868814668
70,6,3.8,00:04,30,17.028013481359448,0.0,24.84289039351072,11.561583878631344,6.8142452328501335,16.308922524412555,69.45053942327753,11.653076340736675,6.934143993326671,16.37200868814668
70,12,4.4,00:02,30,5.112895114437319,5.047041394530256,5.177911361193054,5.109929241374364,5.043805709485364,5.176052773263365,5.46914739244128,11.32733100002293,9.933162520423727,12.721499479622134
70,12,4.4,00:03,30,6.123962982024437,6.086961720082757,6.160742019323519,6.1231924501826,6.086302571803133,6.160082328562067,6.332379696420055,11.32733100002293,9.933162520423727,12.721499479622134
70,12,4.4,00:04,30,11.812792040436856,9.407170699452767,13.805406586282565,11.03247900213745,9.429134294070023,12.635823710204876,28.887468597433752,11.32733100002293,9.933162520423727,12.721499479622134
80,3,3.2,00:02,30,1.520821731694605,1.4245855523759878,1.6113204160410668,1.5049264501341535,1.4216456639218733,1.5882072363464337,2.34431737122841,42.00033823098522,26.662182987458785,57.33849347451166
80,3,3.2,00:03,30,8.327215972411594,8.281116739498788,8.37306140244812,8.326347726848839,8.280684227392532,8.372011226305146,8.730093347490357,42.00033823098522,26.662182987458785,57.33849347451166
80,3,3.2,00:04,30,58.22136605239412,28.66601344482988,77.18623324916544,41.54605142165341,26.05696877444005,57.03513406886677,169.2550394969391,42.00033823098522,26.662182987458785,57.33849347451166
80,6,3.8,00:02,30,1.5335974248615374,1.4850174539902463,1.580685068072766,1.5281411985056275,1.4790589376401888,1.5772234593710661,1.7725354621064089,12.010021508101115,6.7549750696646305,17.2650679465376
80,6,3.8,00:03,30,2.719378172875619,2.65689051911093,2.7804618435941775,2.7144858582791014,2.6525694315060004,2.7764022850522023,3.019936880354401,12.010021508101115,6.7549750696646305,17.2650679465376
80,6,3.8,00:04,30,18.309082173374815,0.0,27.452833700582257,11.866557200247932,6.571744411314227,17.161369989181637,78.65524723863747,12.010021508101115,6.7549750696646305,17.2650679465376
80,12,4.4,00:02,30,5.208296602494848,5.157701817214175,5.258404602521979,5.206565699226912,5.155578931794248,5.257552466659576,5.469436482421976,11.270319881445403,9.837074953660892,12.703564809229913
80,12,4.4,00:03,30,4.79655887525237,4.750644122909308,4.842038259348207,4.795051988371171,4.749397822241004,4.840706154501337,5.057940298010114,11.270319881445403,9.837074953660892,12.703564809229913
80,12,4.4,00:04,30,11.821486376456003,9.408834398758266,13.819150319546166,11.038494918338076,9.431883826831108,12.645106009845044,28.93433192493351,11.270319881445403,9.837074953660892,12.703564809229913
90,3,3.2,00:02,29,241216042.08350128,0.0,372750254.5336404,111558375.79922077,28783492.180878818,194333259.41756272,1070602617.6347408,141622299.2797206,63867279.533692256,219377319.02574897
90,3,3.2,00:03,30,75923240.04212147,17657804.799816623,105909766.71978259,35086132.340315446,9517845.797884025,60654418.88274687,254946501.54807073,141622299.2797206,63867279.533692256,219377319.02574897
90,3,3.2,00:04,29,54.41903808460829,21.915475929425924,73.77381193143573,38.748409482515314,23.95983733669221,53.53698162833842,169.48116198621344,141622299.2797206,63867279.533692256,219377319.02574897
90,3,4.4,00:02,29,6.031730877169528,5.96298269928607,6.09970426145527,6.029209538935623,5.9617167961606246,6.096702281710622,6.539178503924141,13.395138089282494,11.86205828108945,14.928217897475538
90,3,4.4,00:03,30,6.499169060196717,6.3701936446864,6.625634299841304,6.488669780850908,6.34843927381679,6.628900287885027,6.96095812011462,13.395138089282494,11.86205828108945,14.928217897475538
